方法,召回率,延迟(微秒)
FLAT_SEARCH,0.99995,3493.95
FLAT_SEARCH_SQ,0.979653,5287.21
PQ4,0.10935,928.365
PQ8,0.238001,1469.16
PQ16,0.4341,2531.6
PQ32,0.685149,6517.39
PQ4_RERANK,0.469,631.582
PQ8_RERANK,0.706851,906.333
PQ16_RERANK,0.926455,1439.02
PQ32_RERANK,0.9982,2660.72
IVF_N64_P4,0.892302,1792.64
IVF_N64_P8,0.964053,3597.08
IVF_N64_P12,0.983301,5281.62
IVF_N128_P8,0.935753,1759.16
IVF_N128_P12,0.966152,2678.96
IVF_N128_P16,0.980102,3741.36
IVF_N256_P12,0.946803,1481.34
IVF_N256_P16,0.965303,1888.49
IVF_N256_P24,0.982102,2891.29
IVF_N512_P16,0.937103,1088.57
IVF_N512_P20,0.952153,1339.9
IVF_N512_P32,0.976352,1926.63
IVF_OMP_N64_P4,0.892302,1091.26
IVF_OMP_N64_P8,0.964053,999.719
IVF_OMP_N64_P12,0.983301,1158.43
IVF_OMP_N128_P8,0.935753,821.927
IVF_OMP_N128_P12,0.966152,832.755
IVF_OMP_N128_P16,0.980152,1006.72
IVF_OMP_N256_P12,0.946803,751.391
IVF_OMP_N256_P16,0.965303,689.331
IVF_OMP_N256_P24,0.982102,989.827
IVF_OMP_N512_P16,0.937103,643.597
IVF_OMP_N512_P20,0.952153,696.43
IVF_OMP_N512_P32,0.976352,806.302
IVF_PTD_N64_P4,0.892302,1822.04
IVF_PTD_N64_P8,0.964053,2042.1
IVF_PTD_N64_P12,0.983301,2045.18
IVF_PTD_N128_P8,0.935753,1845.78
IVF_PTD_N128_P12,0.966152,1917.32
IVF_PTD_N128_P16,0.980152,1971.95
IVF_PTD_N256_P12,0.946803,1847.4
IVF_PTD_N256_P16,0.965303,2009.76
IVF_PTD_N256_P24,0.982102,2015.95
IVF_PTD_N512_P16,0.937103,1982.71
IVF_PTD_N512_P20,0.952153,1868.73
IVF_PTD_N512_P32,0.976352,2019.24
