Method,nlist,nprobe,threads,avg_recall,avg_latency(us),throughput(QPS)
IVF-Serial(逐个处理查询),128,8,1,0.936153,1894,527.904
IVF-Serial(逐个处理查询),128,16,1,0.979202,3661,273.091
IVF-Serial(逐个处理查询),128,32,1,0.995051,7312,136.761
IVF-Serial(逐个处理查询),256,8,1,0.908404,1033,967.617
IVF-Serial(逐个处理查询),256,16,1,0.965303,2018,495.304
IVF-Serial(逐个处理查询),256,32,1,0.989201,3843,260.158
IVF-OMP-Multi(OpenMP多查询并行),128,8,1,0.936153,1873,533.705
IVF-OMP-Multi(OpenMP多查询并行),128,8,2,0.936153,775,1290.27
IVF-OMP-Multi(OpenMP多查询并行),128,8,4,0.936153,353,2829.3
IVF-OMP-Multi(OpenMP多查询并行),128,8,8,0.936153,167,5966.98
IVF-OMP-Multi(OpenMP多查询并行),128,8,16,0.936153,142,7022.5
IVF-OMP-Multi(OpenMP多查询并行),128,16,1,0.979202,3561,280.808
IVF-OMP-Multi(OpenMP多查询并行),128,16,2,0.979202,1517,658.9
IVF-OMP-Multi(OpenMP多查询并行),128,16,4,0.979202,720,1387.42
IVF-OMP-Multi(OpenMP多查询并行),128,16,8,0.979202,361,2765.93
IVF-OMP-Multi(OpenMP多查询并行),128,16,16,0.979202,260,3838.09
IVF-OMP-Multi(OpenMP多查询并行),128,32,1,0.995051,7257,137.786
IVF-OMP-Multi(OpenMP多查询并行),128,32,2,0.995051,2845,351.371
IVF-OMP-Multi(OpenMP多查询并行),128,32,4,0.995051,1270,787.281
IVF-OMP-Multi(OpenMP多查询并行),128,32,8,0.995051,678,1474.55
IVF-OMP-Multi(OpenMP多查询并行),128,32,16,0.995051,533,1874.76
IVF-OMP-Multi(OpenMP多查询并行),256,8,1,0.908404,992,1007.8
IVF-OMP-Multi(OpenMP多查询并行),256,8,2,0.908404,370,2700.77
IVF-OMP-Multi(OpenMP多查询并行),256,8,4,0.908404,187,5320
IVF-OMP-Multi(OpenMP多查询并行),256,8,8,0.908404,109,9104.65
IVF-OMP-Multi(OpenMP多查询并行),256,8,16,0.908404,74,13469.2
IVF-OMP-Multi(OpenMP多查询并行),256,16,1,0.965303,2050,487.648
IVF-OMP-Multi(OpenMP多查询并行),256,16,2,0.965303,734,1362.26
IVF-OMP-Multi(OpenMP多查询并行),256,16,4,0.965303,356,2808.85
IVF-OMP-Multi(OpenMP多查询并行),256,16,8,0.965303,173,5776.22
IVF-OMP-Multi(OpenMP多查询并行),256,16,16,0.965303,127,7873.71
IVF-OMP-Multi(OpenMP多查询并行),256,32,1,0.989201,3933,254.222
IVF-OMP-Multi(OpenMP多查询并行),256,32,2,0.989201,1451,688.881
IVF-OMP-Multi(OpenMP多查询并行),256,32,4,0.989201,670,1490.76
IVF-OMP-Multi(OpenMP多查询并行),256,32,8,0.989201,342,2922.46
IVF-OMP-Multi(OpenMP多查询并行),256,32,16,0.989201,256,3899.4
IVF-PTD-Multi(Pthread多查询并行),128,8,1,0.936153,1863,536.527
IVF-PTD-Multi(Pthread多查询并行),128,8,2,0.936153,676,1477.85
IVF-PTD-Multi(Pthread多查询并行),128,8,4,0.936153,342,2916.97
IVF-PTD-Multi(Pthread多查询并行),128,8,8,0.936153,174,5722.95
IVF-PTD-Multi(Pthread多查询并行),128,8,16,0.936153,126,7905.54
IVF-PTD-Multi(Pthread多查询并行),128,16,1,0.979202,3826,261.315
IVF-PTD-Multi(Pthread多查询并行),128,16,2,0.979202,1377,725.945
IVF-PTD-Multi(Pthread多查询并行),128,16,4,0.979202,651,1534.78
IVF-PTD-Multi(Pthread多查询并行),128,16,8,0.979202,331,3012.63
IVF-PTD-Multi(Pthread多查询并行),128,16,16,0.979202,245,4071.08
IVF-PTD-Multi(Pthread多查询并行),128,32,1,0.995051,7411,134.931
IVF-PTD-Multi(Pthread多查询并行),128,32,2,0.995051,2842,351.799
IVF-PTD-Multi(Pthread多查询并行),128,32,4,0.995051,1260,793.622
IVF-PTD-Multi(Pthread多查询并行),128,32,8,0.995051,665,1502.15
IVF-PTD-Multi(Pthread多查询并行),128,32,16,0.995051,476,2097.52
IVF-PTD-Multi(Pthread多查询并行),256,8,1,0.908404,1023,977.28
IVF-PTD-Multi(Pthread多查询并行),256,8,2,0.908404,377,2648.88
IVF-PTD-Multi(Pthread多查询并行),256,8,4,0.908404,177,5632.12
IVF-PTD-Multi(Pthread多查询并行),256,8,8,0.908404,97,10208.9
IVF-PTD-Multi(Pthread多查询并行),256,8,16,0.908404,74,13352.9
IVF-PTD-Multi(Pthread多查询并行),256,16,1,0.965303,2039,490.292
IVF-PTD-Multi(Pthread多查询并行),256,16,2,0.965303,715,1398.08
IVF-PTD-Multi(Pthread多查询并行),256,16,4,0.965303,363,2753.74
IVF-PTD-Multi(Pthread多查询并行),256,16,8,0.965303,177,5647.71
IVF-PTD-Multi(Pthread多查询并行),256,16,16,0.965303,129,7710.34
IVF-PTD-Multi(Pthread多查询并行),256,32,1,0.989201,3991,250.561
IVF-PTD-Multi(Pthread多查询并行),256,32,2,0.989201,1460,684.818
IVF-PTD-Multi(Pthread多查询并行),256,32,4,0.989201,684,1461.62
IVF-PTD-Multi(Pthread多查询并行),256,32,8,0.989201,331,3017.69
IVF-PTD-Multi(Pthread多查询并行),256,32,16,0.989201,251,3978.21
