nlist,nprobe,recall,latency_us,build_time_ms,mpi_processes,omp_threads
64,1,0.489100,229,144,2,4
64,2,0.675701,262,144,2,4
64,4,0.817701,307,144,2,4
64,8,0.918801,427,144,2,4
64,16,0.970401,660,144,2,4
64,32,0.995300,1118,144,2,4
64,64,0.999900,1776,144,2,4
128,1,0.437000,193,154,2,4
128,2,0.611500,193,154,2,4
128,4,0.769500,235,154,2,4
128,8,0.883400,275,154,2,4
128,16,0.950501,389,154,2,4
128,32,0.985700,614,154,2,4
128,64,0.998500,999,154,2,4
256,1,0.388600,173,233,2,4
256,2,0.555399,185,233,2,4
256,4,0.709000,180,233,2,4
256,8,0.832501,214,233,2,4
256,16,0.914601,280,233,2,4
256,32,0.968001,397,233,2,4
256,64,0.991200,592,233,2,4
512,1,0.353501,149,435,2,4
512,2,0.495200,143,435,2,4
512,4,0.656700,157,435,2,4
512,8,0.790100,172,435,2,4
512,16,0.890100,211,435,2,4
512,32,0.946800,266,435,2,4
512,64,0.981301,377,435,2,4
