分组策略,批大小,平均时间(us),平均召回率,簇重叠率,矩阵操作数,batch数量
基准无分组,256,309.975,0.90245,0.875803,2000,8
自适应批大小,256,577.344,0.90245,0.768774,2000,16
负载均衡,256,313.833,0.90245,0.875803,2000,8
局部性感知,256,293.369,0.90245,0.886212,2000,8
分层分组,256,2344.94,0.90245,0.451582,2000,250
时间感知自适应,256,311.307,0.90245,0.875878,2000,8
基准无分组,512,163.08,0.90245,0.936147,2000,4
自适应批大小,512,310.931,0.90245,0.875803,2000,8
负载均衡,512,163.582,0.90245,0.936147,2000,4
局部性感知,512,153.126,0.90245,0.941937,2000,4
分层分组,512,2364.5,0.90245,0.451582,2000,250
时间感知自适应,512,161.944,0.90245,0.936458,2000,4
基准无分组,1024,86.8095,0.90245,0.967982,2000,2
自适应批大小,1024,163.42,0.90245,0.936147,2000,4
负载均衡,1024,86.1398,0.90245,0.967982,2000,2
局部性感知,1024,86.206,0.90245,0.968366,2000,2
分层分组,1024,2356.56,0.90245,0.451582,2000,250
时间感知自适应,1024,87.2788,0.90245,0.967982,2000,2
