方法,批大小,基准时间(us),方法时间(us),加速比,召回率
CPU_IVF,1,3748.3,289.04,12.9681,N/A
GPU+CPU,32,3748.3,544.648,6.88206,N/A
GPU+CPU,64,3748.3,309.55,12.1089,N/A
GPU+CPU,128,3748.3,266.639,14.0576,N/A
GPU+CPU,256,3748.3,211.038,17.7613,N/A
GPU+CPU,512,3748.3,176.558,21.2299,N/A
GPU+CPU,1024,3748.3,160.528,23.3498,N/A
GPU+CPU,2048,3748.3,148.827,25.1857,N/A
GPU+GPU,32,3748.3,2031.38,1.8452,N/A
GPU+GPU,64,3748.3,1043.58,3.59177,N/A
GPU+GPU,128,3748.3,671.457,5.58234,N/A
GPU+GPU,256,3748.3,386.276,9.70369,N/A
GPU+GPU,512,3748.3,210.848,17.7773,N/A
GPU+GPU,1024,3748.3,127.233,29.4601,N/A
GPU+GPU,2048,3748.3,120.611,31.0777,N/A
GPU_IVF,32,3748.3,1700.03,2.20484,N/A
GPU_IVF,64,3748.3,1058.56,3.54093,N/A
GPU_IVF,128,3748.3,589.219,6.36147,N/A
GPU_IVF,256,3748.3,309.227,12.1215,N/A
GPU_IVF,512,3748.3,158.22,23.6904,N/A
GPU_IVF,1024,3748.3,82.4974,45.4354,N/A
GPU_IVF,2048,3748.3,41.4597,90.4083,N/A
